Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2026-08-26,Widget A,South,650,58,Male,2.6
2023-02-23,Widget A,West,756,53,Female,3.0
2028-05-25,Widget A,West,656,44,Male,4.7
2023-01-14,Widget A,South,494,28,Male,4.5
2026-12-02,Widget D,North,425,22,Male,1.5
2028-03-28,Widget D,South,992,34,Male,1.7
2027-09-20,Widget C,West,190,69,Male,2.4
2027-12-23,Widget C,South,849,24,Female,2.2
2022-07-20,Widget B,North,169,44,Male,3.5
2027-02-07,Widget C,East,265,64,Female,4.6
2024-02-19,Widget C,East,741,32,Female,4.8
2023-05-18,Widget A,South,313,63,Male,3.6
2028-09-20,Widget A,North,951,30,Female,4.4
2026-10-18,Widget C,East,700,28,Female,3.1
2024-03-15,Widget B,South,434,62,Female,1.8
2027-11-17,Widget A,South,863,43,Male,3.1
2027-03-11,Widget C,North,468,39,Male,3.2
2026-04-20,Widget C,West,960,45,Male,4.0
2024-08-18,Widget D,South,683,41,Male,1.9
2026-01-25,Widget B,West,776,46,Male,2.5
2024-10-25,Widget D,West,148,26,Male,2.5
2023-05-18,Widget B,East,151,59,Male,4.8
2023-02-02,Widget A,West,388,21,Female,2.8
2024-05-20,Widget B,North,889,66,Female,4.0
2023-01-28,Widget C,East,725,63,Male,4.0
2022-07-26,Widget C,East,338,35,Female,2.1
2024-11-04,Widget B,East,232,60,Male,3.3
2027-02-25,Widget B,South,885,33,Male,4.6
2026-01-24,Widget B,South,265,50,Male,2.9
2024-05-13,Widget D,West,473,46,Female,4.8
2023-07-18,Widget B,East,472,56,Male,1.9
2024-10-17,Widget A,East,904,27,Male,1.3
2022-04-06,Widget D,North,577,26,Male,4.6
2027-04-08,Widget D,West,854,48,Male,4.4
2026-10-24,Widget B,North,578,45,Female,5.0
2028-03-28,Widget A,West,931,20,Male,3.7
2026-08-06,Widget D,West,749,31,Female,4.7
2023-06-25,Widget C,South,690,42,Female,4.3
2024-11-25,Widget D,South,781,32,Male,4.4
2025-03-29,Widget B,North,734,19,Male,3.3
2026-09-19,Widget A,West,787,41,Female,2.5
2026-12-25,Widget B,East,399,31,Female,4.7
2026-05-17,Widget C,South,181,65,Female,2.7
2024-03-06,Widget C,East,186,24,Female,3.2
2024-11-17,Widget C,North,324,53,Male,2.8
2026-07-02,Widget B,South,115,67,Female,3.3
2025-09-25,Widget D,South,921,41,Female,2.9
2027-06-05,Widget B,West,457,44,Female,1.2
2025-09-16,Widget A,North,262,54,Female,4.5
2026-07-22,Widget D,West,709,55,Male,2.8
2026-03-10,Widget C,South,767,47,Male,3.4
2027-08-01,Widget B,North,613,44,Male,1.6
2026-02-05,Widget C,South,449,56,Female,1.0
2028-02-16,Widget C,North,780,32,Female,2.0
2025-11-09,Widget A,South,563,43,Male,3.8
2025-11-01,Widget D,East,926,18,Male,1.4
2025-07-30,Widget A,East,936,21,Female,4.6
2024-08-30,Widget A,West,474,46,Male,1.9
2026-11-04,Widget A,East,191,18,Female,1.8
2025-07-06,Widget C,South,280,60,Female,1.7
2023-12-11,Widget A,South,842,67,Female,1.1
2026-01-19,Widget A,East,400,63,Female,4.1
2025-12-05,Widget D,West,759,39,Female,4.5
2023-10-11,Widget D,East,891,28,Female,3.5
2022-11-14,Widget A,North,288,27,Male,1.8
2025-06-11,Widget D,North,958,34,Male,2.1
2023-11-15,Widget D,North,961,53,Male,2.9
2023-10-26,Widget A,East,413,64,Female,4.8
2027-06-22,Widget C,East,592,43,Male,2.0
2026-06-20,Widget A,East,227,65,Female,3.9
2026-02-04,Widget D,North,618,38,Female,2.8
2025-02-10,Widget C,West,525,30,Female,2.2
2027-01-28,Widget B,South,658,26,Female,2.8
2026-03-01,Widget C,East,664,28,Male,1.3
2028-10-25,Widget D,West,286,28,Male,4.2
2023-07-18,Widget C,South,649,23,Male,2.0
2025-07-15,Widget A,South,552,18,Female,3.9
2026-06-25,Widget B,South,570,23,Male,1.3
2023-11-30,Widget B,West,837,30,Male,4.8
2027-12-01,Widget B,West,664,39,Male,1.8
2022-01-02,Widget D,North,323,48,Female,4.5
2023-10-04,Widget D,West,253,39,Male,4.2
2028-03-17,Widget B,West,659,54,Female,4.9
2026-05-09,Widget C,West,450,64,Male,2.9
2024-05-04,Widget B,South,246,44,Female,3.9
2026-10-26,Widget C,East,675,67,Male,2.5
2028-08-29,Widget C,North,448,69,Male,1.7
2026-07-20,Widget D,East,281,31,Male,2.8
2025-02-27,Widget C,East,736,64,Female,1.7
2024-12-12,Widget B,West,278,22,Male,4.9
2026-09-04,Widget D,North,138,53,Male,1.4
2026-08-23,Widget A,East,871,49,Female,3.4
2026-09-30,Widget A,East,993,51,Female,3.5
2025-12-10,Widget D,North,102,24,Female,3.2
2028-04-13,Widget B,West,163,59,Female,3.6
2024-04-15,Widget A,East,128,65,Male,1.5
2022-07-22,Widget A,South,471,27,Male,3.2
2022-05-03,Widget C,East,622,67,Female,2.1
2023-02-05,Widget C,South,196,34,Male,4.8
2024-02-06,Widget B,West,969,47,Female,4.0
2022-10-21,Widget D,East,541,38,Male,4.9
2028-05-16,Widget B,North,302,30,Female,1.2
2022-07-17,Widget D,North,510,18,Male,2.1
2027-04-15,Widget A,East,120,18,Female,1.8
2028-01-01,Widget C,West,650,64,Female,1.0
2023-09-01,Widget B,West,834,50,Male,2.0
2025-02-21,Widget B,North,201,55,Male,3.7
2022-07-06,Widget D,East,145,42,Male,1.9
2026-11-30,Widget D,West,165,43,Female,3.0
2023-10-22,Widget B,North,702,30,Male,4.6
2027-05-10,Widget D,South,263,45,Female,3.8
2028-09-16,Widget B,East,210,50,Male,2.6
2025-10-01,Widget B,South,437,54,Male,2.5
2027-06-10,Widget B,South,222,58,Female,2.8
2026-03-15,Widget A,West,804,47,Female,1.7
2022-05-27,Widget D,West,546,66,Male,3.5
2026-10-01,Widget C,West,710,65,Female,2.5
2027-01-18,Widget C,East,390,25,Female,4.4
2023-05-04,Widget D,South,770,66,Male,4.0
2027-05-14,Widget B,East,511,64,Female,3.4
2026-07-22,Widget C,West,714,18,Male,2.5
2028-07-13,Widget C,South,996,29,Male,1.8
2023-10-03,Widget D,East,380,22,Female,4.1
2026-12-08,Widget C,East,142,41,Male,2.9
2027-05-24,Widget B,North,585,23,Female,1.9
2028-01-08,Widget D,East,695,42,Male,1.8
2025-12-09,Widget B,West,802,18,Female,1.7
2026-06-23,Widget C,East,150,42,Female,4.1
2022-09-20,Widget C,South,997,18,Female,1.9
2026-11-23,Widget B,East,309,49,Female,3.1
2028-01-01,Widget A,North,225,59,Female,2.8
2028-07-21,Widget C,South,591,59,Male,3.3
2023-09-16,Widget A,South,608,20,Male,4.5
2024-10-13,Widget C,North,680,66,Female,4.5
2024-05-30,Widget A,West,876,36,Male,2.8
2027-08-12,Widget A,South,357,60,Female,1.1
2025-08-20,Widget A,West,287,46,Female,2.7
2028-04-20,Widget B,South,329,67,Male,3.4
2023-03-29,Widget A,South,288,19,Male,3.2
2025-03-29,Widget A,West,514,26,Female,3.6
2027-08-19,Widget A,South,109,34,Female,1.6
2026-08-10,Widget C,West,213,63,Female,3.6
2028-03-05,Widget A,North,175,53,Female,1.7
2025-02-28,Widget C,West,775,34,Female,4.0
2023-02-08,Widget A,North,601,66,Female,2.4
2028-01-09,Widget A,South,184,29,Male,3.8
2027-10-03,Widget B,West,148,37,Female,1.2
2026-08-24,Widget C,South,594,67,Female,2.6
2023-09-20,Widget A,West,937,20,Male,3.8
2023-08-10,Widget C,North,788,60,Female,1.9
2026-07-07,Widget C,North,486,67,Female,4.2
2025-12-14,Widget D,West,488,21,Male,3.5
2025-12-16,Widget B,North,317,34,Female,3.4
2022-04-14,Widget B,South,800,67,Male,2.4
2022-09-11,Widget B,South,445,54,Female,2.9
2026-02-05,Widget D,East,329,63,Male,3.4
2022-04-09,Widget D,North,354,59,Male,2.9
2028-01-10,Widget B,South,335,32,Male,3.8
2027-02-28,Widget D,West,125,50,Female,2.7
2027-04-04,Widget D,North,683,33,Female,1.8
2024-05-27,Widget D,South,360,28,Male,1.9
2022-12-04,Widget B,North,865,37,Male,1.0
2024-08-14,Widget B,West,370,55,Female,2.2
2026-09-01,Widget B,South,222,41,Female,4.0
2022-06-10,Widget D,East,755,33,Female,4.2
2026-05-23,Widget B,East,356,47,Female,1.8
2023-02-02,Widget D,North,755,51,Female,4.8
2025-07-24,Widget A,West,520,18,Male,3.0
2024-03-26,Widget D,South,358,41,Female,4.7
2026-03-08,Widget C,West,146,41,Male,3.8
2027-04-04,Widget B,South,962,26,Female,3.9
2025-11-16,Widget B,North,624,39,Male,1.3
2025-03-04,Widget C,South,987,29,Male,1.9
2025-05-03,Widget D,West,307,34,Female,1.0
2023-02-05,Widget A,West,410,42,Male,3.9
2023-10-02,Widget C,North,846,45,Male,2.4
2023-04-05,Widget C,West,248,32,Male,4.1
2024-08-12,Widget D,South,933,47,Male,2.4
2023-04-15,Widget B,North,537,68,Female,4.3
2024-11-11,Widget D,South,254,44,Male,1.5
2026-08-21,Widget C,West,777,39,Female,1.7
2027-09-17,Widget C,North,189,27,Male,2.4
2028-03-27,Widget B,South,797,48,Female,2.6
2023-07-17,Widget B,West,929,44,Female,2.4
2028-10-21,Widget B,West,457,29,Female,4.1
2026-12-05,Widget D,East,273,63,Male,1.4
2027-09-06,Widget B,West,316,48,Female,2.4
2022-08-14,Widget C,South,555,49,Female,4.3
2024-03-08,Widget C,North,875,49,Male,1.3
2028-05-20,Widget A,East,708,58,Female,4.8
2024-08-17,Widget D,West,728,62,Male,4.9
2026-02-13,Widget A,West,298,52,Male,1.4
2023-03-29,Widget C,West,931,63,Female,2.2
2024-03-26,Widget A,South,585,38,Male,2.5
2023-10-21,Widget C,East,632,27,Male,4.1
2023-07-01,Widget A,South,299,33,Male,3.4
2025-04-30,Widget B,East,470,24,Female,3.6
2022-01-17,Widget A,North,952,21,Male,4.0
2025-05-28,Widget B,South,547,44,Male,1.5
2028-01-15,Widget B,South,347,69,Male,4.3
2024-12-05,Widget D,North,887,42,Female,3.8
2027-11-17,Widget B,East,363,48,Male,3.3
2026-11-04,Widget B,West,157,28,Female,4.6
2024-11-26,Widget A,North,401,65,Male,3.8
2028-05-16,Widget C,West,130,37,Female,1.8
2022-10-29,Widget D,West,597,53,Female,2.7
2022-06-30,Widget B,North,348,34,Female,3.0
2023-08-30,Widget D,East,704,62,Male,1.2
2023-12-01,Widget A,West,876,28,Male,4.8
2024-09-19,Widget B,North,370,47,Male,1.5
2025-02-13,Widget A,South,705,52,Female,3.8
2022-07-10,Widget D,South,765,58,Male,3.0
2028-04-19,Widget A,South,493,55,Male,1.1
2024-09-07,Widget D,North,896,39,Female,4.7
2027-06-30,Widget A,South,601,60,Male,4.4
2025-03-30,Widget D,West,691,65,Male,3.1
2022-05-08,Widget C,South,903,68,Female,1.9
2027-08-28,Widget A,South,183,44,Female,1.5
2026-12-22,Widget A,West,464,54,Male,2.5
2026-10-25,Widget C,South,985,63,Female,2.0
2023-07-24,Widget C,West,648,66,Male,3.0
2025-09-08,Widget A,South,441,52,Male,4.9
2027-03-11,Widget C,West,938,21,Male,3.3
2023-09-18,Widget B,South,506,33,Male,4.6
2026-08-14,Widget D,West,524,33,Male,3.6
2022-06-04,Widget D,North,843,38,Female,2.9
2025-11-10,Widget D,West,192,43,Female,4.4
2024-02-24,Widget B,South,947,53,Male,2.9
2022-09-03,Widget C,South,713,36,Female,4.5
2026-02-09,Widget C,East,511,34,Female,2.2
2026-09-02,Widget A,West,531,62,Male,1.5
2023-06-22,Widget C,North,777,43,Female,4.4
2027-03-06,Widget A,West,258,39,Female,3.3
2027-01-16,Widget B,West,113,45,Male,4.6
2024-07-09,Widget D,North,472,18,Male,4.8
2028-09-21,Widget D,West,324,61,Male,1.2
2023-06-09,Widget D,North,604,53,Male,3.0
2026-03-10,Widget C,North,172,60,Male,2.5
2022-02-05,Widget A,West,348,54,Male,3.5
2023-11-16,Widget A,West,610,19,Male,4.2
2022-01-20,Widget B,South,702,34,Female,2.1
2028-06-26,Widget C,South,315,57,Male,3.2
2023-02-04,Widget B,East,701,55,Female,3.8
2024-08-29,Widget A,East,640,38,Female,1.5
2027-03-22,Widget A,West,916,26,Male,4.3
2025-03-12,Widget D,North,319,30,Female,3.4
2025-01-20,Widget C,East,939,28,Female,4.8
2024-04-13,Widget A,West,826,33,Female,2.4
2026-12-29,Widget D,East,320,33,Male,1.4
2027-06-06,Widget C,North,488,19,Female,3.0
2024-05-03,Widget B,West,653,59,Female,1.3
2022-02-20,Widget C,North,746,61,Male,4.9
2023-07-29,Widget C,West,141,25,Female,1.2
2025-02-22,Widget A,East,775,60,Female,4.0
2028-01-07,Widget A,South,972,59,Female,3.1
2028-06-19,Widget C,East,382,30,Female,2.5
2028-06-10,Widget A,East,157,34,Female,1.3
2026-09-12,Widget A,South,913,56,Male,3.5
2023-11-13,Widget A,South,933,41,Female,3.3
2024-04-17,Widget D,West,636,20,Male,2.1
2024-12-13,Widget D,West,172,47,Female,4.6
2028-10-27,Widget C,North,984,69,Male,2.2
2028-04-30,Widget A,North,228,30,Male,2.8
2026-05-15,Widget D,East,698,36,Male,3.2
2022-01-05,Widget C,South,941,24,Female,1.4
2025-01-31,Widget A,North,525,26,Female,4.7
2025-05-04,Widget B,East,764,36,Female,2.5
2024-02-13,Widget A,South,793,62,Female,1.3
2024-05-26,Widget A,West,224,57,Female,2.5
2024-09-18,Widget D,East,166,39,Male,3.4
2022-02-16,Widget C,West,105,35,Male,3.1
2022-09-26,Widget C,North,736,40,Male,3.8
2023-01-05,Widget D,North,413,19,Female,1.2
2023-09-28,Widget A,South,425,67,Female,2.1
2025-02-03,Widget B,East,664,67,Male,4.3
2026-08-21,Widget A,West,677,28,Female,1.3
2026-08-10,Widget A,South,925,48,Female,4.4
2023-10-19,Widget B,North,605,50,Male,1.4
2022-04-30,Widget D,North,181,31,Male,4.3
2024-04-10,Widget C,East,698,33,Female,2.4
2026-12-16,Widget D,West,101,28,Female,3.4
2024-12-17,Widget D,East,303,50,Male,1.6
2027-05-29,Widget A,West,761,24,Female,1.3
2025-10-01,Widget C,West,904,48,Male,1.9
2024-01-11,Widget C,East,503,65,Male,1.5
2022-04-27,Widget D,South,202,63,Male,2.2
2027-01-28,Widget B,East,635,64,Female,3.1
2025-02-24,Widget D,East,467,31,Male,3.4
2027-04-16,Widget B,North,311,45,Male,4.2
2024-10-09,Widget C,North,676,60,Female,3.6
2026-07-23,Widget D,East,308,33,Male,3.4
2024-12-17,Widget A,East,862,36,Female,2.6
2023-09-26,Widget D,North,996,34,Female,2.9
2023-05-28,Widget C,West,216,43,Female,2.7
2025-01-24,Widget A,East,727,23,Male,4.4
2025-02-15,Widget A,South,848,60,Male,1.9
2023-07-14,Widget B,South,577,66,Female,1.0
2023-05-03,Widget A,South,204,26,Female,3.6
2024-06-15,Widget A,East,594,67,Female,1.8
2025-04-27,Widget D,West,870,34,Male,4.6
2023-12-05,Widget C,West,145,48,Female,4.4
2026-01-10,Widget B,North,922,29,Female,1.3
2023-08-04,Widget D,East,430,40,Female,1.4
2028-04-13,Widget A,West,315,22,Male,3.0
2022-06-03,Widget A,East,591,60,Female,3.4
2026-08-07,Widget B,North,912,53,Male,2.1
2024-09-23,Widget C,North,944,53,Male,3.9
2025-05-28,Widget B,North,548,20,Female,3.4
2024-12-28,Widget D,South,635,41,Female,2.3
2024-10-05,Widget B,East,610,34,Female,1.1
2027-11-12,Widget A,North,557,56,Male,4.0
2026-11-09,Widget D,East,646,43,Male,1.9
2024-08-15,Widget A,South,635,21,Male,4.3
2023-03-29,Widget C,South,639,62,Female,2.7
2025-05-12,Widget A,North,583,29,Male,3.3
2028-03-15,Widget A,North,115,18,Female,4.5
2028-10-15,Widget B,West,670,38,Female,4.5
2028-07-16,Widget A,East,342,36,Female,2.5
2023-07-05,Widget D,North,306,38,Male,1.8
2026-06-24,Widget D,West,370,69,Male,4.1
2025-08-05,Widget C,East,860,35,Male,2.7
2026-10-24,Widget D,North,878,60,Female,1.8
2022-12-23,Widget B,West,804,69,Male,4.6
2027-09-02,Widget C,West,946,20,Male,1.8
2026-11-21,Widget D,East,829,66,Female,1.1
2026-11-17,Widget B,West,214,61,Female,1.1
2028-10-25,Widget D,East,679,49,Male,3.5
2026-06-20,Widget D,East,398,27,Female,3.6
2024-10-12,Widget A,East,936,57,Male,2.2
2025-09-10,Widget D,South,582,32,Female,2.3
2023-05-31,Widget D,West,496,22,Female,2.4
2022-12-02,Widget B,East,493,21,Male,3.7
2026-11-18,Widget B,North,174,45,Female,1.2
2028-04-24,Widget A,South,581,69,Female,4.7
2023-05-12,Widget D,South,202,68,Female,1.9
2024-06-14,Widget A,West,396,21,Male,5.0
2028-01-17,Widget D,East,277,32,Female,1.7
2024-05-01,Widget C,West,314,34,Female,4.1
2026-08-15,Widget C,South,414,61,Male,1.9
2027-04-16,Widget A,East,138,20,Male,1.3
2028-08-24,Widget A,North,358,27,Female,4.5
2026-04-18,Widget A,East,815,64,Female,4.4
2024-08-14,Widget B,South,106,59,Female,2.6
2026-06-25,Widget B,North,148,40,Male,3.8
2025-07-15,Widget B,East,637,35,Female,3.2
2025-12-11,Widget A,North,260,18,Male,4.4
2025-04-06,Widget D,North,968,52,Male,2.3
2024-12-02,Widget C,South,275,48,Female,3.1
2022-10-12,Widget A,North,690,61,Female,2.9
2028-09-10,Widget B,West,101,18,Male,2.4
2022-01-12,Widget B,South,994,20,Female,4.6
2026-06-19,Widget A,West,554,20,Female,1.7
2024-01-24,Widget A,North,743,54,Male,1.6
2027-09-14,Widget B,West,375,36,Female,3.3
2022-03-31,Widget D,East,597,46,Male,3.6
2024-02-15,Widget B,North,728,42,Female,1.8
2026-06-14,Widget B,East,775,50,Male,2.6
2023-02-22,Widget A,West,899,53,Male,4.8
2022-04-25,Widget D,East,127,46,Female,2.0
2023-09-09,Widget B,North,432,43,Male,3.7
2024-04-05,Widget B,East,100,21,Male,4.0
2026-07-08,Widget C,West,287,66,Female,2.8
2026-02-25,Widget A,West,155,31,Female,4.8
2023-02-17,Widget C,West,646,67,Female,3.9
2023-12-30,Widget C,North,211,44,Male,2.8
2023-11-07,Widget B,West,897,50,Male,3.3
2027-03-08,Widget A,North,409,39,Male,3.8
2028-02-18,Widget D,East,135,65,Female,3.4
2025-01-27,Widget B,West,538,20,Male,4.5
2026-04-21,Widget D,East,828,40,Male,2.4
2024-09-04,Widget D,South,691,38,Female,2.2
2024-10-05,Widget A,East,925,58,Male,1.9
2027-11-14,Widget C,South,694,40,Female,1.2
2026-08-15,Widget A,East,676,21,Female,1.2
2022-02-06,Widget D,North,424,38,Female,4.5
2026-03-29,Widget B,East,739,54,Male,3.7
2028-05-15,Widget D,North,406,60,Male,3.6
2028-03-14,Widget B,North,633,48,Male,3.5
2024-05-22,Widget B,West,827,38,Female,4.4
2026-12-27,Widget A,North,718,43,Female,2.9
2025-07-20,Widget D,South,208,58,Female,4.5
2027-10-11,Widget C,West,471,52,Male,2.4
2023-08-19,Widget D,West,456,55,Male,4.7
2027-03-19,Widget D,East,280,41,Male,3.8
2023-12-30,Widget C,North,455,28,Male,2.0
2025-09-27,Widget A,North,775,58,Male,3.3
2023-02-01,Widget D,South,167,46,Female,3.1
2023-11-30,Widget D,East,391,64,Male,1.6
2028-02-03,Widget B,East,791,20,Female,3.4
2026-06-24,Widget D,West,280,18,Female,2.3
2023-01-31,Widget C,West,565,69,Male,1.2
2028-10-28,Widget B,West,533,36,Female,4.8
2022-03-17,Widget A,South,563,63,Male,3.6
2022-09-22,Widget B,South,780,66,Male,4.5
2026-12-25,Widget C,West,633,39,Female,3.7
2023-12-19,Widget C,East,165,31,Male,2.4
2024-04-30,Widget B,South,120,66,Male,3.1
2025-10-22,Widget A,East,711,31,Female,3.7
2022-05-24,Widget B,East,483,61,Female,4.8
2024-06-03,Widget A,North,911,33,Female,2.0
2023-01-31,Widget B,West,714,50,Female,4.5
2026-02-01,Widget C,North,658,30,Female,4.7
2025-03-13,Widget D,West,138,55,Female,3.7
2024-11-28,Widget D,West,384,66,Male,4.7
2027-11-27,Widget A,East,921,29,Male,2.6
2024-12-01,Widget A,West,701,68,Male,4.8
2025-04-24,Widget A,East,696,55,Female,3.8
2028-09-11,Widget C,East,884,56,Male,1.2
2023-09-26,Widget B,West,435,50,Female,4.6
2025-03-02,Widget C,East,287,50,Male,2.9
2025-05-23,Widget D,East,770,46,Female,2.8
2024-01-03,Widget A,East,342,22,Male,3.3
2022-08-23,Widget B,South,172,23,Female,1.6
2024-01-21,Widget D,East,578,48,Female,2.9
2024-08-11,Widget D,South,660,33,Female,4.3
2026-03-23,Widget D,South,200,48,Female,1.1
2025-04-12,Widget C,East,613,42,Male,2.1
2026-08-04,Widget A,East,855,65,Male,1.0
2025-04-06,Widget D,South,275,63,Female,2.7
2028-01-27,Widget A,South,337,50,Female,3.9
2025-11-17,Widget C,East,158,30,Female,4.2
2025-05-02,Widget D,East,964,69,Male,4.8
2026-03-21,Widget C,West,198,27,Female,3.4
2027-09-08,Widget C,South,970,41,Female,2.0
2025-12-16,Widget A,South,594,27,Male,4.7
2028-07-14,Widget D,West,613,58,Female,4.1
2026-02-28,Widget C,South,854,48,Female,3.3
2025-10-20,Widget D,North,396,30,Male,3.8
2027-01-31,Widget A,South,310,20,Female,4.7
2025-09-27,Widget C,West,222,67,Female,3.8
2023-05-15,Widget A,North,328,69,Male,2.5
2026-08-08,Widget D,East,693,51,Female,3.9
2023-05-26,Widget D,West,755,66,Male,1.2
2022-08-05,Widget A,West,487,45,Female,2.5
2025-08-17,Widget B,East,239,36,Female,2.6
2025-03-01,Widget C,West,640,40,Female,1.7
2027-01-02,Widget D,South,490,62,Female,1.1
2026-12-16,Widget D,East,369,49,Female,1.5
2028-10-28,Widget C,West,858,30,Male,3.6
2025-04-20,Widget A,East,111,50,Female,4.2
2028-01-24,Widget A,East,966,51,Female,5.0
2022-04-01,Widget A,East,488,50,Male,2.4
2023-12-15,Widget B,North,436,22,Male,3.4
2027-02-25,Widget B,West,605,20,Female,4.7
2022-02-08,Widget D,North,205,24,Male,1.7
2022-06-22,Widget A,West,131,41,Female,3.9
2023-10-15,Widget C,South,173,39,Male,4.0
2024-01-24,Widget D,South,270,62,Male,1.4
2025-05-28,Widget C,South,948,40,Female,4.4
2024-12-17,Widget D,West,168,47,Male,4.3
2026-08-11,Widget B,East,912,35,Female,1.1
2023-04-01,Widget D,East,461,49,Male,1.4
2024-04-08,Widget B,North,748,24,Male,1.2
2024-06-13,Widget D,North,532,50,Male,2.3
2025-10-16,Widget A,South,199,22,Female,3.0
2027-05-13,Widget C,North,757,66,Female,3.1
2028-08-31,Widget A,West,108,45,Male,2.1
2027-06-20,Widget D,West,673,25,Female,4.6
2028-07-23,Widget D,North,796,32,Female,2.5
2022-07-09,Widget D,North,128,69,Female,1.2
2023-05-20,Widget B,North,992,21,Male,2.2
2025-04-29,Widget C,North,213,51,Female,3.1
2026-03-12,Widget C,South,561,22,Male,2.6
2024-04-03,Widget D,South,242,50,Male,2.1
2024-07-17,Widget D,North,489,22,Male,1.5
2024-07-22,Widget B,West,731,55,Male,4.3
2025-02-14,Widget A,South,781,51,Male,5.0
